,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price
1689,"1081 Cumberland Road NEAtlanta, GA 30306",30306,Fulton,5.0,4.5,4800.0,0.187,2005,4.0,16130,0.0,2,1995000
1690,"872 Durant Place NEAtlanta, GA 30309",30309,Fulton,6.0,6.0,4840.0,0.159,2020,8.0,16445,0.0,2,1998000
1691,"3184 Andrews Court NWAtlanta, GA 30305",30305,Fulton,6.0,5.5,7026.0,0.413,1985,,14055,0.0,2,1999900
1692,"3760 Cloudland NWAtlanta, GA 30327",30327,Fulton,4.0,3.5,,1.069,1961,,19340,0.0,2,1999999
1693,"40 12th Street NE Unit: 1405Atlanta, GA 30309",30309,Fulton,3.0,3.0,2547.0,,2021,7.0,0,25884.0,2,2070344
1694,"40 12th Street NE Unit: 1206Atlanta, GA 30309",30309,Fulton,4.0,3.5,2537.0,,2021,7.0,0,25788.0,2,2071976
1695,"3793 Club Drive NEAtlanta, GA 30319",30319,Fulton,5.0,4.0,,0.805,1939,6.0,22321,0.0,2,2095000
1696,"4221 Club Drive NEAtlanta, GA 30319",30319,Fulton,5.0,6.0,5346.0,0.054,1935,4.0,17606,0.0,2,2095000
1697,"3295 Stillhouse RoadAtlanta, GA 30339",30339,Cobb,5.0,6.0,7140.0,0.65,2000,,6837,2750.0,2,2095000
1698,"2380 Greenglade RoadAtlanta, GA 30345",30345,DeKalb,7.0,6.5,6097.0,0.25,2023,7.0,5874,0.0,2,2150000
1699,"2520 Peachtree Road NW Unit: 601Atlanta, GA 30305",30305,Fulton,2.0,3.0,2528.0,,2022,6.0,0,0.0,2,2150000
1700,"229 Peachtree Hills Avenue NE Unit: 447Atlanta, GA 30305",30305,Fulton,1.0,2.5,2821.0,0.065,2019,5.0,20093,48000.0,2,2200000
1701,"750 Park Avenue NE Unit: 27NAtlanta, GA 30326",30326,Fulton,2.0,2.5,,0.065,1999,5.0,16116,24360.0,2,2200000
1702,"675 Sherwood Road NEAtlanta, GA 30324",30324,Fulton,5.0,5.5,3250.0,0.276,2023,5.0,7589,0.0,2,2250000
1703,"40 W 12th Street  Unit: 1903Atlanta, GA 30309",30309,Fulton,3.0,3.0,2071.0,,2021,7.0,33702,0.0,2,2250000
1704,"4415 Jett Road NWAtlanta, GA 30327",30327,Fulton,6.0,6.5,5496.0,0.57,2004,8.0,0,0.0,2,2250000
1705,"3171 Habersham Road NWAtlanta, GA 30305",30305,Fulton,5.0,4.5,6771.0,0.909,1940,3.0,27867,0.0,2,2250000
1706,"697 Kendall Street NEAtlanta, GA 30312",30312,Fulton,4.0,5.0,,0.117,2020,5.0,18182,0.0,2,2250000
1707,"675 Sherwood Road NEAtlanta, GA 30324",30324,Fulton,5.0,5.5,3250.0,0.276,2023,5.0,7589,0.0,2,2250000
1708,"40 W 12th Street  Unit: 1903Atlanta, GA 30309",30309,Fulton,3.0,3.0,2071.0,,2021,7.0,33702,0.0,2,2250000
