,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price,lat,long
481,"3100 SableAtlanta, GA 30349",30349,Fulton,3.0,2.5,1518.0,0.138,2006,,4189,475.0,2,261250,33.620038,-84.5327038
482,"1167 Indale Place SWAtlanta, GA 30310",30310,Fulton,2.0,1.0,1218.0,0.19,1920,4.0,14,0.0,2,262200,33.7231396,-84.42885749999999
483,"1333 N Crossing Drive NEAtlanta, GA 30329",30329,DeKalb,2.0,1.0,1216.0,,1984,6.0,1865,4635.0,2,262500,33.8227727,-84.3197079
484,"117 Thayer AvenueAtlanta, GA 30315",30315,Fulton,3.0,1.0,1241.0,0.17,1920,,1959,0.0,2,262900,33.71555250000001,-84.38428669999999
485,"79 Turman Avenue SEAtlanta, GA 30315",30315,Fulton,2.0,1.0,,0.149,1950,5.0,1408,0.0,2,265000,33.7088506,-84.3843277
486,"244 13th Street NE Unit: 112Atlanta, GA 30309",30309,Fulton,1.0,1.0,811.0,0.019,1985,6.0,836,5520.0,2,265000,33.7859285,-84.37987989999999
487,"2886 Fairburn Road SWAtlanta, GA 30331",30331,Fulton,4.0,2.0,,1.06,1920,4.0,2922,0.0,2,265000,33.6761191,-84.5166685
488,"356 Lake DriveAtlanta, GA 30354",30354,Fulton,3.0,2.0,1776.0,0.227,1955,4.0,912,0.0,2,265000,33.6684649,-84.4001735
489,"592 Waynes Court SEAtlanta, GA 30354",30354,Fulton,3.0,2.5,1534.0,0.121,1997,,1211,0.0,2,265000,33.6702949,-84.3693492
490,"2053 Oak Terrace Drive SEAtlanta, GA 30316",30316,DeKalb,3.0,2.0,,0.3,2001,,2595,0.0,2,265000,33.6884613,-84.3058983
491,"1683 Mary George Avenue NWAtlanta, GA 30318",30318,Fulton,3.0,1.0,875.0,0.2,1962,,1135,0.0,2,265000,33.8015275,-84.46429289999999
492,"944 Hubbard Street SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,,0.062,1920,,2786,0.0,2,265000,33.7291512,-84.402272
493,"2608 Barge Road SWAtlanta, GA 30331",30331,Fulton,3.0,2.0,906.0,0.175,1953,,2337,0.0,2,265000,33.6847527,-84.5060988
494,"1393 Bolton Rd NWAtlanta, GA 30331",30331,Fulton,3.0,2.0,1831.0,0.74,1955,,985,0.0,2,265000,33.7927512,-84.49274059999999
495,"130 26th Street NW Unit: 403Atlanta, GA 30309",30309,Fulton,1.0,1.0,815.0,0.019,1962,,178,7272.0,2,265000,33.8019228,-84.3986753
496,"2140 Tiger Flowers Drive NWAtlanta, GA 30314",30314,Fulton,2.0,2.0,650.0,0.299,1950,5.0,410,0.0,2,265000,33.7602124,-84.4577734
